model,type,size,mean,std,min,max,count
efficientnet_b0,original,224,70.5625,1.4591664287073862,67,73,16
efficientnet_b0,original,256,72.0,1.4832396974191338,70,74,11
efficientnet_b0,original,320,75.53333333333333,0.743223352957209,74,77,15
efficientnet_b0,rectangular,224,34.73684210526316,0.4524139283588638,34,35,19
efficientnet_b0,rectangular,256,35.9,0.4025778999364489,35,37,30
efficientnet_b0,rectangular,320,37.0,5.950412372887057,30,44,28
mobilenet_v3_small,original,224,68.86666666666666,3.7007077830109876,56,71,15
mobilenet_v3_small,original,256,71.70588235294117,1.1048023512348784,69,73,17
mobilenet_v3_small,original,320,75.0,1.0954451150103321,73,77,21
mobilenet_v3_small,rectangular,224,34.89473684210526,0.567130872815601,34,36,19
mobilenet_v3_small,rectangular,256,36.0,0.4472135954999579,35,37,21
mobilenet_v3_small,rectangular,320,38.96296296296296,0.5871365639519879,38,40,27
resnet18,original,224,69.0909090909091,3.238967287718275,60,72,11
resnet18,original,256,71.28571428571429,1.101946330038682,69,73,21
resnet18,original,320,75.33333333333333,0.7237468644557459,74,76,15
resnet18,rectangular,224,34.64705882352941,0.49259218307188796,34,35,17
resnet18,rectangular,256,35.925925925925924,0.7299065233052315,35,37,27
resnet18,rectangular,320,39.69230769230769,0.4803844614152601,39,40,13
resnet50,original,224,70.125,0.9469631093315024,67,71,24
resnet50,original,256,72.14285714285714,1.108409413786904,71,75,21
resnet50,original,320,76.3529411764706,1.2217393579743332,74,79,17
resnet50,rectangular,224,35.36585365853659,0.5812098399449033,34,37,41
resnet50,rectangular,256,32.15,4.319783132958121,28,37,20
resnet50,rectangular,320,38.0,0.0,38,38,17
