model,type,size,epoch,time_seconds
efficientnet_b0,original,224,1,67
efficientnet_b0,original,224,2,70
efficientnet_b0,original,224,3,71
efficientnet_b0,original,224,4,71
efficientnet_b0,original,224,5,72
efficientnet_b0,original,224,6,69
efficientnet_b0,original,224,7,70
efficientnet_b0,original,224,8,71
efficientnet_b0,original,224,9,73
efficientnet_b0,original,224,10,73
efficientnet_b0,original,224,11,70
efficientnet_b0,original,224,12,71
efficientnet_b0,original,224,13,70
efficientnet_b0,original,224,14,70
efficientnet_b0,original,224,15,70
efficientnet_b0,original,224,16,71
efficientnet_b0,original,256,1,73
efficientnet_b0,original,256,2,74
efficientnet_b0,original,256,3,74
efficientnet_b0,original,256,4,71
efficientnet_b0,original,256,5,70
efficientnet_b0,original,256,6,73
efficientnet_b0,original,256,7,71
efficientnet_b0,original,256,8,71
efficientnet_b0,original,256,9,72
efficientnet_b0,original,256,10,73
efficientnet_b0,original,256,11,70
efficientnet_b0,original,320,1,75
efficientnet_b0,original,320,2,75
efficientnet_b0,original,320,3,75
efficientnet_b0,original,320,4,74
efficientnet_b0,original,320,5,75
efficientnet_b0,original,320,6,77
efficientnet_b0,original,320,7,76
efficientnet_b0,original,320,8,76
efficientnet_b0,original,320,9,76
efficientnet_b0,original,320,10,75
efficientnet_b0,original,320,11,76
efficientnet_b0,original,320,12,76
efficientnet_b0,original,320,13,76
efficientnet_b0,original,320,14,76
efficientnet_b0,original,320,15,75
efficientnet_b0,rectangular,224,1,35
efficientnet_b0,rectangular,224,2,35
efficientnet_b0,rectangular,224,3,35
efficientnet_b0,rectangular,224,4,35
efficientnet_b0,rectangular,224,5,35
efficientnet_b0,rectangular,224,6,35
efficientnet_b0,rectangular,224,7,35
efficientnet_b0,rectangular,224,8,35
efficientnet_b0,rectangular,224,9,34
efficientnet_b0,rectangular,224,10,35
efficientnet_b0,rectangular,224,11,34
efficientnet_b0,rectangular,224,12,35
efficientnet_b0,rectangular,224,13,35
efficientnet_b0,rectangular,224,14,34
efficientnet_b0,rectangular,224,15,34
efficientnet_b0,rectangular,224,16,35
efficientnet_b0,rectangular,224,17,34
efficientnet_b0,rectangular,224,18,35
efficientnet_b0,rectangular,224,19,35
efficientnet_b0,rectangular,256,1,36
efficientnet_b0,rectangular,256,2,36
efficientnet_b0,rectangular,256,3,36
efficientnet_b0,rectangular,256,4,35
efficientnet_b0,rectangular,256,5,36
efficientnet_b0,rectangular,256,6,36
efficientnet_b0,rectangular,256,7,36
efficientnet_b0,rectangular,256,8,36
efficientnet_b0,rectangular,256,9,36
efficientnet_b0,rectangular,256,10,36
efficientnet_b0,rectangular,256,11,36
efficientnet_b0,rectangular,256,12,36
efficientnet_b0,rectangular,256,13,36
efficientnet_b0,rectangular,256,14,36
efficientnet_b0,rectangular,256,15,36
efficientnet_b0,rectangular,256,16,36
efficientnet_b0,rectangular,256,17,36
efficientnet_b0,rectangular,256,18,36
efficientnet_b0,rectangular,256,19,36
efficientnet_b0,rectangular,256,20,35
efficientnet_b0,rectangular,256,21,36
efficientnet_b0,rectangular,256,22,36
efficientnet_b0,rectangular,256,23,36
efficientnet_b0,rectangular,256,24,36
efficientnet_b0,rectangular,256,25,35
efficientnet_b0,rectangular,256,26,35
efficientnet_b0,rectangular,256,27,36
efficientnet_b0,rectangular,256,28,37
efficientnet_b0,rectangular,256,29,36
efficientnet_b0,rectangular,256,30,36
efficientnet_b0,rectangular,320,1,39
efficientnet_b0,rectangular,320,2,40
efficientnet_b0,rectangular,320,3,40
efficientnet_b0,rectangular,320,4,42
efficientnet_b0,rectangular,320,5,43
efficientnet_b0,rectangular,320,6,43
efficientnet_b0,rectangular,320,7,44
efficientnet_b0,rectangular,320,8,42
efficientnet_b0,rectangular,320,9,43
efficientnet_b0,rectangular,320,10,43
efficientnet_b0,rectangular,320,11,43
efficientnet_b0,rectangular,320,12,43
efficientnet_b0,rectangular,320,13,43
efficientnet_b0,rectangular,320,14,43
efficientnet_b0,rectangular,320,15,43
efficientnet_b0,rectangular,320,16,36
efficientnet_b0,rectangular,320,17,31
efficientnet_b0,rectangular,320,18,31
efficientnet_b0,rectangular,320,19,31
efficientnet_b0,rectangular,320,20,31
efficientnet_b0,rectangular,320,21,30
efficientnet_b0,rectangular,320,22,30
efficientnet_b0,rectangular,320,23,30
efficientnet_b0,rectangular,320,24,30
efficientnet_b0,rectangular,320,25,30
efficientnet_b0,rectangular,320,26,30
efficientnet_b0,rectangular,320,27,31
efficientnet_b0,rectangular,320,28,31
resnet18,original,224,1,60
resnet18,original,224,2,68
resnet18,original,224,3,69
resnet18,original,224,4,70
resnet18,original,224,5,70
resnet18,original,224,6,72
resnet18,original,224,7,71
resnet18,original,224,8,71
resnet18,original,224,9,71
resnet18,original,224,10,69
resnet18,original,224,11,69
resnet18,original,256,1,70
resnet18,original,256,2,71
resnet18,original,256,3,72
resnet18,original,256,4,72
resnet18,original,256,5,69
resnet18,original,256,6,73
resnet18,original,256,7,71
resnet18,original,256,8,70
resnet18,original,256,9,71
resnet18,original,256,10,72
resnet18,original,256,11,72
resnet18,original,256,12,72
resnet18,original,256,13,71
resnet18,original,256,14,71
resnet18,original,256,15,71
resnet18,original,256,16,73
resnet18,original,256,17,71
resnet18,original,256,18,70
resnet18,original,256,19,70
resnet18,original,256,20,72
resnet18,original,256,21,73
resnet18,original,320,1,76
resnet18,original,320,2,74
resnet18,original,320,3,76
