model,size,original_mean,rectangular_mean,speedup,p_value
efficientnet_b0,224,70.5625,34.73684210526316,2.031344696969697,4.523826809862373e-25
efficientnet_b0,256,72.0,35.9,2.0055710306406684,5.279573594659555e-16
efficientnet_b0,320,75.53333333333333,37.0,2.0414414414414415,1.442495187751605e-24
resnet18,224,69.0909090909091,34.64705882352941,1.9941348973607038,4.773115246376121e-12
resnet18,256,71.28571428571429,35.925925925925924,1.9842415316642124,5.427451518821368e-46
resnet18,320,75.33333333333333,39.69230769230769,1.8979328165374676,3.6832806754008027e-38
resnet50,224,70.125,35.36585365853659,1.9828448275862067,6.235984589129496e-50
resnet50,256,72.14285714285714,32.15,2.2439457898244832,1.2677887402432086e-21
resnet50,320,76.3529411764706,38.0,2.0092879256965945,1.3496245397099505e-25
mobilenet_v3_small,224,68.86666666666666,34.89473684210526,1.9735545500251381,1.794633245949855e-15
mobilenet_v3_small,256,71.70588235294117,36.0,1.9918300653594772,9.98354167738775e-31
mobilenet_v3_small,320,75.0,38.96296296296296,1.9249049429657796,4.644873197207917e-42
